 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"150034 AGUA AZUL DO NORTE";-;-;2;1;1;2;5;1;9;3;2;2;2;1;1;6;3;7;3;1;8;3;3;7;4;3;3;83
"150040 ALENQUER";1;6;3;9;4;5;9;4;7;34;32;23;28;32;20;31;27;32;25;19;21;30;30;30;37;27;16;542
"150050 ALMEIRIM";-;6;9;7;9;15;16;19;17;10;17;22;19;11;19;14;20;15;14;16;10;13;8;20;15;8;13;362
"150060 ALTAMIRA";75;73;61;58;83;75;71;66;69;56;52;32;41;47;51;47;40;53;61;49;48;35;38;34;33;47;31;1426
"150070 ANAJAS";1;2;4;3;11;12;5;8;13;13;12;7;8;5;13;10;10;14;12;5;12;12;8;12;10;12;8;242
"150080 ANANINDEUA";225;255;204;187;201;230;194;200;211;151;146;159;140;146;132;174;125;128;135;118;112;111;122;93;90;107;91;4187
"150085 ANAPU";-;2;2;3;6;6;5;16;17;13;19;7;5;10;13;8;12;11;16;9;16;14;13;7;8;13;10;261
"150090 AUGUSTO CORREA";3;9;8;10;16;10;15;11;19;28;21;20;23;11;11;15;12;15;12;10;11;16;17;12;10;12;13;370
"150095 AURORA DO PARA";3;1;5;6;8;13;10;11;15;6;9;6;11;7;9;9;5;6;8;6;7;4;5;2;7;2;4;185
"150100 AVEIRO";-;1;9;3;7;3;8;4;-;5;6;6;4;1;2;4;1;5;5;3;5;3;1;3;1;5;5;100
"150110 BAGRE";4;2;6;3;2;9;12;7;6;12;20;10;10;7;11;10;6;6;5;8;4;4;14;14;5;10;12;219
"150120 BAIAO";5;3;5;7;3;7;8;10;6;7;11;11;7;12;7;10;9;7;10;10;12;17;11;14;8;6;12;235
"150125 BANNACH";-;-;-;-;1;1;-;-;-;-;1;3;1;1;1;1;1;1;-;2;1;-;-;-;-;-;-;15
"150130 BARCARENA";15;16;9;13;35;22;21;42;25;32;29;30;37;32;31;28;19;27;26;37;22;22;33;24;21;34;29;711
"150140 BELEM";695;755;808;814;761;720;565;580;512;472;457;422;402;376;389;371;366;395;331;318;283;263;282;288;267;261;235;12388
"150145 BELTERRA";-;-;-;1;6;4;5;8;4;6;3;11;8;4;5;4;6;3;3;5;5;6;5;6;7;6;4;125
"150150 BENEVIDES";2;6;16;26;13;22;16;24;18;18;19;9;11;14;12;12;9;13;21;16;18;13;11;14;13;14;10;390
"150157 BOM JESUS DO TOCANTINS";1;1;-;2;-;8;8;3;4;5;6;5;5;11;2;2;4;1;3;3;5;5;2;3;2;5;2;98
"150160 BONITO";4;1;1;8;8;2;7;9;5;2;4;5;3;4;5;3;3;1;6;1;1;5;3;1;1;1;2;96
"150170 BRAGANCA";14;36;74;50;50;56;62;47;68;59;47;53;47;53;38;38;37;42;41;34;36;26;38;19;28;19;23;1135
"150172 BRASIL NOVO";4;1;12;3;3;7;9;5;6;9;7;4;4;5;14;2;5;3;3;3;4;3;3;3;2;2;1;127
"150175 BREJO GRANDE DO ARAGUAIA";3;2;2;7;5;2;2;3;6;7;3;4;3;1;1;4;-;1;4;1;1;1;1;1;1;-;1;67
"150178 BREU BRANCO";1;5;7;14;6;5;15;12;26;31;26;35;19;16;16;12;15;17;14;14;4;19;7;14;6;9;1;366
"150180 BREVES";79;44;48;43;48;62;63;52;53;44;46;48;36;54;39;44;56;40;49;52;42;43;42;47;37;35;42;1288
"150190 BUJARU";1;3;6;7;8;11;10;12;11;8;10;4;3;4;7;11;6;6;7;11;8;6;8;3;9;6;7;193
