 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"150195 CACHOEIRA DO PIRIA";-;3;4;3;3;7;4;4;5;5;10;7;6;4;3;7;7;9;7;6;4;3;2;6;2;4;1;126
"150200 CACHOEIRA DO ARARI";8;3;1;4;3;4;1;4;1;5;7;6;6;7;5;4;5;6;5;8;7;1;7;8;2;3;6;127
"150210 CAMETA";13;30;38;40;55;43;42;55;54;40;64;63;78;43;62;60;53;43;47;54;47;36;43;45;43;35;38;1264
"150215 CANAA DOS CARAJAS";-;-;4;6;4;8;1;9;17;5;12;15;11;8;7;10;12;15;20;23;27;18;18;16;10;14;15;305
"150220 CAPANEMA";16;42;31;31;27;24;13;31;31;19;27;12;24;16;15;28;23;12;13;14;24;24;22;18;18;14;10;579
"150230 CAPITAO POCO";13;20;7;6;8;11;6;10;9;11;8;11;5;18;14;6;6;11;10;11;4;10;17;15;9;16;14;286
"150240 CASTANHAL";84;71;65;63;53;43;49;64;54;50;59;47;63;52;51;48;49;49;41;47;33;34;49;34;42;36;42;1372
"150250 CHAVES";2;1;2;1;4;4;2;3;4;7;3;7;4;2;3;10;5;4;6;4;5;2;4;6;6;7;6;114
"150260 COLARES";5;5;2;1;-;2;4;1;3;2;3;2;1;6;2;2;1;-;2;4;4;2;3;2;1;2;-;62
"150270 CONCEICAO DO ARAGUAIA";10;24;21;22;22;20;16;10;18;21;25;21;17;21;7;12;18;10;10;13;12;12;17;15;12;8;11;425
"150275 CONCORDIA DO PARA";1;3;3;3;6;12;11;7;9;8;8;11;16;14;6;8;10;10;12;13;7;6;9;9;3;2;6;213
"150276 CUMARU DO NORTE";-;1;2;1;2;2;5;4;8;6;1;6;5;6;3;3;11;6;3;4;4;3;7;2;7;4;6;112
"150277 CURIONOPOLIS";2;5;10;13;12;18;11;9;11;9;11;13;8;8;8;6;9;5;5;5;6;5;5;7;5;5;5;216
"150280 CURRALINHO";3;4;3;2;3;3;5;7;9;10;12;7;12;13;10;10;11;9;12;13;13;11;8;17;15;12;15;249
"150285 CURUA";-;-;1;8;-;1;3;5;3;7;7;7;10;6;3;6;-;3;2;3;3;3;5;6;5;7;3;107
"150290 CURUCA";3;2;-;1;4;6;5;8;4;5;12;8;2;8;15;12;11;4;10;6;6;7;8;7;13;6;7;180
"150293 DOM ELISEU";-;8;18;6;23;31;20;27;15;22;27;25;10;14;15;16;12;7;9;12;17;9;5;3;6;4;3;364
"150295 ELDORADO DOS CARAJAS";5;15;20;19;18;26;4;24;14;21;16;14;26;17;11;4;10;9;6;3;6;5;5;10;5;11;5;329
"150300 FARO";3;-;-;2;7;8;4;8;4;6;5;-;6;3;-;2;3;-;4;4;-;4;2;3;4;3;1;86
"150304 FLORESTA DO ARAGUAIA";-;2;4;5;4;4;10;8;14;5;5;3;4;5;7;5;2;2;2;-;2;3;6;3;1;3;3;112
"150307 GARRAFAO DO NORTE";8;31;9;15;12;15;13;17;9;7;11;7;9;6;10;8;2;4;8;9;7;3;6;4;12;7;4;253
"150309 GOIANESIA DO PARA";-;3;8;27;9;8;12;23;30;28;20;21;20;10;17;10;5;10;7;8;12;6;4;10;7;5;4;324
"150310 GURUPA";4;9;-;12;8;3;6;6;9;6;1;7;9;13;7;6;7;13;10;9;11;8;6;9;9;10;5;203
"150320 IGARAPE-ACU";28;18;19;17;20;22;16;13;11;13;15;9;12;12;1;8;12;10;12;2;9;4;6;7;14;7;14;331
"150330 IGARAPE-MIRI";8;10;9;8;5;9;17;29;20;20;18;17;25;17;22;17;20;23;16;13;10;17;10;16;17;16;13;422
"150340 INHANGAPI";6;5;3;6;2;4;1;1;4;2;1;2;2;2;1;3;1;4;1;6;2;4;3;3;2;2;1;74
"150345 IPIXUNA DO PARA";3;6;6;5;15;16;13;20;19;7;15;12;11;16;10;8;6;9;12;9;14;12;6;9;12;7;8;286
"150350 IRITUIA";11;7;8;14;23;14;10;15;12;14;10;8;7;12;12;6;5;4;7;4;4;6;7;9;8;6;4;247
"150360 ITAITUBA";2;2;48;75;57;83;61;77;73;54;58;51;42;41;42;46;38;22;39;27;48;46;46;41;43;48;47;1257
"150370 ITUPIRANGA";5;9;18;23;23;11;28;30;38;37;45;32;25;23;13;11;9;15;17;19;14;9;9;13;13;10;10;509
"150375 JACAREACANGA";-;-;2;6;14;10;9;14;11;25;5;12;22;9;22;8;13;15;17;11;12;19;10;12;12;26;13;329
"150380 JACUNDA";6;1;7;8;55;45;53;52;49;44;26;29;14;20;24;20;17;7;12;11;16;11;4;11;7;12;9;570
"150390 JURUTI";2;5;6;9;18;11;23;15;10;13;14;17;18;26;28;23;19;17;23;17;25;21;22;31;17;17;8;455
"150400 LIMOEIRO DO AJURU";1;2;2;-;11;4;4;7;14;7;10;4;7;7;7;9;14;19;13;12;8;6;7;9;8;7;10;209
"150405 MAE DO RIO";23;27;15;20;28;31;34;27;23;18;20;17;11;17;10;9;14;11;7;11;9;11;7;9;12;5;5;431
"150410 MAGALHAES BARATA";-;1;1;-;6;2;2;1;4;6;1;1;3;1;-;2;1;1;2;3;-;1;1;2;1;-;-;43
"150420 MARABA";97;84;119;101;151;156;116;135;121;114;128;91;97;111;99;82;81;83;57;68;75;89;80;73;64;56;62;2590
"150430 MARACANA";3;3;3;1;4;-;6;7;6;6;8;5;10;4;2;5;5;9;10;4;4;6;13;9;3;5;8;149
"150440 MARAPANIM";2;2;1;4;6;4;8;3;6;4;3;7;5;10;1;7;4;11;11;7;4;2;6;3;4;4;5;134
"150442 MARITUBA";-;9;23;45;37;36;40;32;41;34;36;35;31;31;32;25;29;21;28;22;24;25;19;25;21;25;18;744
"150445 MEDICILANDIA";-;2;9;9;26;21;12;15;14;18;12;8;4;4;5;8;9;3;3;-;8;3;6;12;3;5;4;223
"150450 MELGACO";2;3;-;5;11;7;13;18;14;8;11;13;16;10;9;12;9;6;8;10;10;10;9;4;11;15;12;256
"150460 MOCAJUBA";-;2;1;3;3;4;7;6;5;17;9;20;9;4;7;7;11;14;9;8;11;15;10;7;6;9;10;214
"150470 MOJU";14;14;13;18;11;18;15;29;42;33;25;19;28;23;34;21;13;23;26;13;22;21;15;34;24;19;11;578
"150475 MOJUI DOS CAMPOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5;3;5;7;7;3;3;4;40
"150480 MONTE ALEGRE";10;11;9;6;12;13;13;21;17;13;15;26;22;22;28;21;21;23;17;16;19;28;16;17;17;14;16;463
"150490 MUANA";9;4;15;13;10;8;12;8;16;18;11;17;6;11;11;13;13;19;12;8;15;12;12;12;16;8;6;315
"150495 NOVA ESPERANCA DO PIRIA";-;1;-;1;7;6;15;9;6;3;6;12;6;9;12;7;7;4;5;3;9;6;6;4;6;6;1;157
"150497 NOVA IPIXUNA";-;-;2;4;-;13;3;2;-;11;12;13;12;7;5;3;3;5;4;2;6;5;4;-;1;2;1;120
"150500 NOVA TIMBOTEUA";-;-;3;2;1;5;-;2;1;5;3;2;4;5;1;1;2;1;2;-;2;3;1;1;3;3;3;56
"150503 NOVO PROGRESSO";-;-;5;3;12;11;8;19;18;11;9;12;15;9;14;9;9;9;4;7;6;11;14;4;6;10;11;246
"150506 NOVO REPARTIMENTO";7;16;14;15;12;12;39;26;36;38;36;21;22;32;26;25;19;13;17;23;10;18;18;18;29;23;17;582
"150510 OBIDOS";1;3;5;8;10;13;12;14;16;23;14;13;17;20;18;16;13;18;22;16;16;12;16;15;17;14;23;385
"150520 OEIRAS DO PARA";1;7;-;-;6;8;7;16;12;14;14;29;18;20;19;27;21;9;8;9;15;16;17;17;12;15;15;352
"150530 ORIXIMINA";32;8;11;30;45;42;34;31;33;46;34;29;33;19;17;21;29;28;20;32;32;33;23;28;19;25;30;764
"150540 OUREM";7;3;2;4;4;4;4;7;7;3;15;2;2;4;4;5;3;3;2;8;4;1;3;2;6;4;1;114
"150543 OURILANDIA DO NORTE";2;1;1;2;2;4;4;9;4;6;15;7;10;10;13;12;14;17;9;7;18;17;14;11;15;13;10;247
"150548 PACAJA";2;4;6;10;23;16;17;21;17;21;26;14;12;15;21;10;16;8;6;6;8;12;9;14;12;15;14;355
"150549 PALESTINA DO PARA";1;-;2;4;5;6;6;5;4;5;1;1;4;3;1;2;1;2;1;3;1;1;1;-;3;1;1;65
"150550 PARAGOMINAS";80;97;88;79;77;74;56;57;66;48;49;31;58;33;42;44;35;34;36;32;22;21;31;24;25;19;29;1287
"150553 PARAUAPEBAS";15;22;61;77;58;63;49;78;79;74;68;76;64;61;61;57;70;79;77;72;63;63;51;57;55;73;58;1681
"150555 PAU D'ARCO";-;-;-;1;2;2;2;-;-;1;1;4;2;4;5;1;4;4;5;2;6;2;4;3;5;2;1;63
"150560 PEIXE-BOI";1;-;3;2;2;3;1;1;1;2;1;2;3;2;3;2;2;3;1;-;2;3;2;1;1;-;-;44
"150563 PICARRA";-;5;2;2;2;6;6;2;5;4;5;8;5;5;7;2;3;-;3;2;3;5;5;4;4;2;1;98
"150565 PLACAS";-;-;2;1;5;2;3;6;3;3;4;3;4;2;4;6;6;3;4;3;3;2;2;4;3;3;7;88
"150570 PONTA DE PEDRAS";4;3;-;2;-;9;7;3;3;10;5;6;5;7;8;6;9;5;1;7;7;6;7;5;5;2;7;139
"150580 PORTEL";12;12;10;14;9;17;16;27;26;20;33;32;30;40;12;27;17;27;19;32;24;19;21;22;13;37;27;595
"150590 PORTO DE MOZ";7;7;12;9;8;16;19;11;16;12;10;7;7;18;10;11;17;12;13;7;11;9;12;21;6;18;7;313
"150600 PRAINHA";5;2;10;8;6;5;8;5;7;9;6;16;12;10;11;13;15;8;13;14;15;10;12;7;16;16;6;265
"150610 PRIMAVERA";10;1;3;3;5;5;4;3;5;4;5;3;2;6;2;3;3;-;4;2;-;4;3;1;4;2;-;87
"150611 QUATIPURU";-;2;4;7;6;5;3;7;5;6;8;5;8;4;5;4;3;1;2;1;-;2;3;1;4;2;2;100
"150613 REDENCAO";43;42;43;50;74;53;51;39;52;44;48;36;39;33;18;22;24;26;29;24;30;30;23;33;32;34;29;1001
"150616 RIO MARIA";11;19;8;8;8;5;5;4;5;9;4;7;4;9;6;6;3;7;2;3;2;4;6;4;3;1;7;160
"150618 RONDON DO PARA";-;2;8;21;33;32;40;24;23;32;26;25;23;16;22;20;11;15;13;17;11;7;11;4;8;10;5;459
"150619 RUROPOLIS";5;9;8;9;9;7;8;12;15;12;3;16;11;9;6;8;5;4;7;2;7;9;3;6;10;5;6;211
"150620 SALINOPOLIS";24;16;19;21;16;17;10;17;13;13;8;9;11;16;13;10;5;9;9;9;4;6;11;6;8;14;12;326
"150630 SALVATERRA";11;6;10;5;4;6;5;5;5;3;9;8;13;9;8;8;7;12;9;5;9;6;5;6;3;7;7;191
"150635 SANTA BARBARA DO PARA";-;3;3;-;4;3;3;7;5;9;5;6;8;5;3;9;6;2;8;3;5;4;6;5;1;1;4;118
"150640 SANTA CRUZ DO ARARI";1;1;3;2;2;1;1;3;1;3;3;-;3;-;-;-;-;-;2;1;1;2;1;2;4;-;-;37
"150650 SANTA IZABEL DO PARA";29;22;37;26;21;21;26;30;22;16;15;15;12;15;14;11;17;19;20;15;7;13;12;15;11;13;14;488
"150655 SANTA LUZIA DO PARA";4;9;7;10;7;7;7;8;5;6;7;5;7;7;5;6;4;5;6;4;7;2;4;-;5;4;5;153
"150658 SANTA MARIA DAS BARREIRAS";2;1;1;2;2;3;2;2;1;3;2;1;3;3;1;3;5;4;7;1;1;4;4;4;4;6;3;75
"150660 SANTA MARIA DO PARA";3;1;-;2;3;5;4;7;14;10;10;8;6;7;3;7;5;5;3;3;7;6;3;6;6;7;3;144
"150670 SANTANA DO ARAGUAIA";-;1;-;-;4;6;8;12;10;22;20;13;22;17;7;8;3;11;8;14;7;9;4;4;16;13;7;246
"150680 SANTAREM";91;70;82;102;112;97;106;124;140;131;108;153;152;128;122;108;121;96;95;104;100;123;146;122;112;103;106;3054
"150690 SANTAREM NOVO";-;1;3;4;1;3;-;-;2;2;1;1;-;3;2;1;-;3;4;-;1;2;2;2;2;1;1;42
"150700 SANTO ANTONIO DO TAUA";8;12;4;2;19;6;14;13;7;10;10;6;7;12;8;7;10;11;9;6;9;4;7;7;4;9;9;230
"150710 SAO CAETANO DE ODIVELAS";3;1;5;5;6;5;5;6;5;6;4;1;6;3;3;7;7;4;3;5;1;4;1;2;6;2;2;108
"150715 SAO DOMINGOS DO ARAGUAIA";3;2;6;9;9;8;14;13;8;13;7;14;6;11;5;8;3;1;1;5;4;6;8;2;4;1;1;172
"150720 SAO DOMINGOS DO CAPIM";4;2;2;1;5;1;14;13;10;13;18;11;11;14;17;12;7;11;12;8;5;6;6;5;5;6;4;223
"150730 SAO FELIX DO XINGU";5;3;7;15;6;18;17;22;18;28;20;21;15;25;21;22;22;14;14;16;19;15;27;26;23;16;13;468
"150740 SAO FRANCISCO DO PARA";3;-;-;-;-;1;2;4;5;4;5;3;6;4;5;5;4;3;1;1;2;5;5;4;4;3;3;82
"150745 SAO GERALDO DO ARAGUAIA";5;12;8;21;6;19;11;7;14;10;11;17;12;11;8;8;8;7;4;8;8;3;6;4;3;3;7;241
"150746 SAO JOAO DA PONTA";-;-;-;-;-;-;-;-;1;4;3;1;-;-;1;1;3;2;-;-;2;-;-;-;3;1;-;22
"150747 SAO JOAO DE PIRABAS";4;2;3;2;3;5;6;2;4;3;8;2;5;10;4;6;3;3;6;3;8;4;3;6;2;3;5;115
"150750 SAO JOAO DO ARAGUAIA";1;1;3;9;7;8;6;5;7;4;3;7;4;3;1;4;1;2;2;3;8;1;3;2;-;1;3;99
"150760 SAO MIGUEL DO GUAMA";21;15;11;22;34;24;26;24;15;22;29;16;17;12;19;20;17;17;24;10;15;10;13;13;11;15;9;481
"150770 SAO SEBASTIAO DA BOA VISTA";6;7;17;12;8;13;4;6;7;9;8;11;9;9;15;10;9;1;11;12;7;8;5;8;2;4;7;225
"150775 SAPUCAIA";-;-;-;-;3;1;4;1;-;2;-;-;-;1;1;-;2;2;1;-;1;1;2;1;2;1;2;28
"150780 SENADOR JOSE PORFIRIO";7;2;-;5;3;10;7;11;8;6;7;7;5;6;4;9;9;4;12;8;1;4;4;4;5;4;13;165
"150790 SOURE";21;20;22;13;15;15;20;23;13;12;15;8;7;6;8;6;9;11;9;12;5;14;4;3;4;8;5;308
"150795 TAILANDIA";12;32;47;54;38;58;36;44;44;47;51;37;34;38;36;39;25;23;31;18;24;27;17;22;18;23;24;899
"150796 TERRA ALTA";1;-;-;-;1;1;2;2;-;1;9;7;3;2;6;1;2;2;2;-;4;4;2;1;3;2;2;60
"150797 TERRA SANTA";8;4;5;12;9;2;3;4;5;10;5;5;6;3;3;6;6;2;3;8;9;3;5;1;1;4;8;140
"150800 TOME-ACU";2;2;2;3;15;14;11;15;13;13;25;19;29;25;30;33;30;22;18;22;22;22;17;18;17;21;13;473
"150803 TRACUATEUA";-;4;3;7;11;6;7;6;7;12;15;14;8;7;11;14;16;6;7;7;11;17;12;7;2;3;7;227
"150805 TRAIRAO";-;1;1;1;1;5;5;5;3;5;4;2;9;9;6;5;4;5;2;2;6;10;4;5;4;7;6;117
"150808 TUCUMA";-;1;1;4;6;7;8;7;14;7;16;24;10;18;13;16;14;12;12;12;9;11;11;13;8;13;14;281
"150810 TUCURUI";14;38;54;44;28;27;64;72;49;56;46;56;54;42;42;37;37;30;27;30;33;30;23;25;19;25;18;1020
"150812 ULIANOPOLIS";1;6;-;7;6;7;15;12;11;19;19;15;12;7;9;2;8;7;8;3;10;6;3;7;5;6;2;213
"150815 URUARA";7;5;8;23;20;29;22;30;25;29;24;13;11;17;18;14;11;13;11;16;16;8;10;11;13;9;17;430
"150820 VIGIA";28;22;13;5;35;9;13;21;30;13;22;20;18;12;18;5;6;14;12;12;10;10;4;9;10;7;12;390
"150830 VISEU";4;4;19;17;18;19;12;16;33;22;36;26;28;22;22;24;17;16;16;18;19;18;18;21;14;15;12;506
"150835 VITORIA DO XINGU";11;4;4;3;1;10;12;4;3;6;1;3;6;1;2;8;1;5;7;2;2;9;10;3;3;6;3;130
"150840 XINGUARA";1;1;6;9;10;14;14;12;11;10;14;13;13;16;10;14;12;7;10;9;15;17;13;16;11;14;9;301
" MUNICIPIO IGNORADO - AP";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"160005 SERRA DO NAVIO";1;-;-;1;1;-;-;2;3;1;-;-;2;3;1;1;-;2;1;-;-;2;-;-;2;2;2;27
"160010 AMAPA";-;4;2;4;2;1;2;3;5;6;-;1;2;2;2;6;5;3;-;-;3;-;3;2;1;2;2;63
"160015 PEDRA BRANCA DO AMAPARI";3;1;-;-;-;3;2;1;2;3;4;3;2;3;3;5;8;8;6;6;7;6;3;8;6;8;5;106
"160020 CALCOENE";-;1;-;-;-;1;1;1;3;4;3;3;3;3;1;2;1;8;8;1;2;1;3;2;2;6;4;64
"160021 CUTIAS";-;-;-;2;2;5;1;1;2;2;4;2;2;1;5;3;1;-;2;-;1;4;1;3;1;3;-;48
"160023 FERREIRA GOMES";2;1;4;1;2;1;2;4;3;4;4;4;2;1;2;2;2;2;4;3;-;1;2;6;5;2;3;69
"160025 ITAUBAL";-;1;-;3;2;-;1;1;-;2;-;2;2;4;2;1;-;2;2;-;1;-;2;1;-;1;1;31
"160027 LARANJAL DO JARI";1;7;3;4;3;17;20;18;18;33;28;23;22;18;13;11;14;13;23;20;22;8;11;18;20;13;14;415
"160030 MACAPA";268;285;229;277;216;221;221;211;200;169;200;212;227;225;189;192;201;211;189;168;168;198;200;183;166;175;150;5551
"160040 MAZAGAO";7;5;5;3;9;9;8;6;6;6;3;5;8;-;7;9;4;2;6;9;11;11;10;8;2;15;3;177
"160050 OIAPOQUE";1;-;3;4;6;1;10;3;9;12;11;6;11;8;9;7;12;18;6;13;13;14;14;4;11;11;10;227
"160053 PORTO GRANDE";3;4;4;4;8;4;6;7;8;8;8;2;7;9;7;8;3;5;7;4;9;4;4;4;7;7;8;159
"160055 PRACUUBA";-;1;-;1;-;2;-;1;2;4;2;-;1;1;-;1;1;-;-;1;2;2;-;2;-;-;1;25
"160060 SANTANA";73;77;78;55;61;57;56;34;42;30;44;30;40;36;36;44;41;35;32;33;36;39;29;40;35;35;35;1183
"160070 TARTARUGALZINHO";1;1;1;-;2;6;6;6;3;4;2;2;6;3;8;7;6;2;5;2;6;2;3;5;4;14;6;113
"160080 VITORIA DO JARI";-;-;-;1;-;3;7;7;9;1;7;4;5;4;2;5;5;2;3;4;3;10;9;3;2;5;2;103
" MUNICIPIO IGNORADO - TO";59;28;30;12;-;1;-;-;-;-;1;1;1;1;3;3;1;-;-;-;2;-;1;-;-;-;-;144
"170025 ABREULANDIA";-;-;-;-;1;1;2;-;1;-;-;-;2;1;-;1;-;1;-;-;2;1;-;-;2;-;1;16
"170030 AGUIARNOPOLIS";-;-;2;3;2;3;2;1;3;1;3;-;3;4;1;1;4;1;-;1;1;-;1;1;-;1;-;39
"170035 ALIANCA DO TOCANTINS";1;3;4;3;4;5;4;-;2;-;3;2;1;1;-;2;3;-;1;1;2;-;1;1;-;1;2;47
"170040 ALMAS";-;2;2;3;3;4;9;1;5;4;7;1;-;8;1;4;2;2;2;5;1;1;1;1;1;2;-;72
"170070 ALVORADA";1;2;6;3;4;8;3;9;5;1;3;2;2;1;5;1;6;2;1;4;-;2;2;1;1;2;2;79
"170100 ANANAS";9;7;4;10;2;3;5;3;4;6;5;3;3;4;3;1;5;5;1;3;1;1;3;-;-;1;-;92
"170105 ANGICO";-;-;-;2;-;2;1;1;-;2;-;1;-;-;-;1;2;-;1;-;-;-;-;1;-;-;1;15
"170110 APARECIDA DO RIO NEGRO";1;-;-;1;-;2;-;1;-;-;3;1;1;1;2;-;1;-;-;1;1;-;2;-;2;2;-;22
"170130 ARAGOMINAS";1;2;1;4;2;2;1;4;1;3;3;1;1;1;1;2;1;-;-;-;-;-;1;4;-;-;1;37
"170190 ARAGUACEMA";-;1;-;1;4;4;2;2;1;2;-;3;2;3;2;1;4;-;1;2;1;2;1;2;1;2;2;46
"170200 ARAGUACU";2;5;2;3;3;5;3;4;3;1;-;-;1;1;3;-;-;2;-;1;-;4;-;1;2;-;-;46
"170210 ARAGUAINA";133;89;65;52;61;59;46;51;44;49;42;60;48;45;36;44;33;47;47;35;33;35;53;32;29;41;28;1337
"170215 ARAGUANA";1;4;2;2;7;-;-;2;4;-;2;2;1;-;-;3;1;3;2;1;-;-;2;1;-;-;3;43
"170220 ARAGUATINS";7;14;9;21;9;7;7;12;12;14;13;10;7;12;12;12;8;9;4;8;6;7;6;5;4;3;8;246
"170230 ARAPOEMA";7;7;4;5;2;1;7;6;4;2;1;2;2;4;3;3;-;1;-;1;1;-;1;-;-;1;-;65
"170240 ARRAIAS";3;6;4;5;3;2;5;2;2;5;9;1;4;1;10;1;3;2;3;2;2;-;4;1;1;4;1;86
"170255 AUGUSTINOPOLIS";12;13;12;15;8;10;9;11;10;12;18;9;7;7;6;5;3;4;4;5;3;6;6;5;3;3;2;208
"170270 AURORA DO TOCANTINS";-;1;1;-;1;-;1;-;1;1;1;1;-;-;1;1;2;2;1;1;3;1;1;-;-;-;-;21
"170290 AXIXA DO TOCANTINS";1;1;4;2;7;2;7;9;10;4;2;8;6;5;2;6;3;2;3;4;3;4;2;3;3;2;1;106
"170300 BABACULANDIA";3;1;3;4;4;1;5;3;1;-;3;1;1;3;2;1;-;2;2;3;-;-;-;-;4;2;-;49
"170305 BANDEIRANTES DO TOCANTINS";-;-;2;-;1;2;1;2;-;2;-;-;1;-;1;2;1;-;-;1;-;2;-;-;-;1;2;21
"170307 BARRA DO OURO";-;-;1;-;2;3;-;1;3;2;3;1;2;1;1;1;-;-;-;1;5;2;2;1;2;1;1;36
"170310 BARROLANDIA";1;1;1;1;1;1;2;3;3;2;-;3;4;-;2;3;1;-;1;-;1;2;-;1;-;1;1;36
"170320 BERNARDO SAYAO";-;-;1;1;1;3;1;-;-;1;-;1;1;3;-;2;2;2;1;1;-;1;-;-;2;1;1;26
"170330 BOM JESUS DO TOCANTINS";-;-;-;1;1;1;2;1;-;-;1;3;1;1;-;3;1;3;1;1;1;2;-;1;-;1;1;27
"170360 BRASILANDIA DO TOCANTINS";-;1;3;-;-;1;1;1;1;-;1;1;-;-;1;1;-;1;-;-;-;-;-;-;-;1;-;14
"170370 BREJINHO DE NAZARE";3;3;2;-;7;1;4;-;5;1;3;2;3;2;2;2;2;1;-;-;1;1;-;1;-;-;-;46
"170380 BURITI DO TOCANTINS";-;1;2;2;8;3;6;2;11;6;6;1;-;2;2;2;1;-;-;1;1;-;-;1;1;1;1;61
"170382 CACHOEIRINHA";2;1;-;-;1;-;2;4;-;1;2;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;17
"170384 CAMPOS LINDOS";2;-;2;3;3;2;2;-;1;6;2;3;1;6;3;5;4;3;3;4;2;2;-;3;2;1;3;68
"170386 CARIRI DO TOCANTINS";-;1;1;-;-;2;-;3;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;2;-;-;14
"170388 CARMOLANDIA";1;1;1;-;3;1;4;1;-;-;1;-;1;-;1;-;2;-;-;-;-;-;-;1;1;-;-;19
"170389 CARRASCO BONITO";-;1;4;1;2;2;2;6;-;5;4;7;2;3;4;-;2;-;-;1;1;1;3;-;-;2;-;53
"170390 CASEARA";-;-;1;1;3;1;2;2;1;2;1;2;-;1;1;1;-;5;1;1;1;1;1;3;-;1;-;33
"170410 CENTENARIO";-;-;-;-;2;2;-;1;3;2;1;1;1;2;2;2;2;-;1;-;2;-;-;-;-;-;1;25
"170460 CHAPADA DE AREIA";-;1;1;-;-;-;-;-;-;-;2;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"170510 CHAPADA DA NATIVIDADE";-;-;1;-;-;-;2;1;-;-;-;-;-;-;1;3;1;2;-;2;1;-;-;1;-;1;-;16
"170550 COLINAS DO TOCANTINS";13;23;13;19;23;22;16;18;14;14;7;9;11;16;10;6;12;10;6;6;6;9;5;7;10;6;6;317
"170555 COMBINADO";-;1;1;3;1;-;1;-;3;2;2;3;2;1;-;-;-;-;-;2;1;2;2;-;1;2;-;30
"170560 CONCEICAO DO TOCANTINS";-;1;-;1;-;4;1;4;1;1;8;1;1;1;1;-;3;1;4;2;1;4;-;-;2;1;2;45
"170600 COUTO MAGALHAES";2;-;-;1;4;4;-;1;1;1;3;1;1;1;4;-;1;2;-;1;-;-;-;3;1;-;1;33
"170610 CRISTALANDIA";3;1;1;1;3;4;2;3;3;2;1;-;2;2;2;1;1;2;1;-;-;1;-;-;-;2;2;40
"170625 CRIXAS DO TOCANTINS";-;-;-;-;-;1;2;1;1;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;9
"170650 DARCINOPOLIS";-;-;2;2;-;5;3;1;-;-;2;1;1;4;2;1;2;2;1;1;-;-;-;1;-;1;2;34
"170700 DIANOPOLIS";7;6;7;17;3;16;10;8;7;5;8;8;7;7;10;9;5;6;5;3;4;5;6;8;5;4;7;193
"170710 DIVINOPOLIS DO TOCANTINS";-;1;-;-;3;1;2;2;4;1;1;1;-;4;2;2;1;-;1;1;2;1;1;1;-;1;1;34
"170720 DOIS IRMAOS DO TOCANTINS";1;-;2;2;2;2;2;4;1;3;3;2;2;1;-;-;-;1;-;3;1;-;-;1;1;-;2;36
"170730 DUERE";4;2;1;1;-;1;-;4;1;1;-;-;-;2;2;1;-;-;-;-;-;1;-;-;-;-;-;21
"170740 ESPERANTINA";-;3;4;6;12;6;8;7;9;5;7;8;2;5;3;1;4;2;4;4;6;1;5;3;3;-;3;121
"170755 FATIMA";2;-;3;2;1;1;-;1;1;1;-;2;1;-;2;1;-;-;-;-;-;1;-;-;-;2;-;21
"170765 FIGUEIROPOLIS";6;1;-;3;2;3;3;2;1;1;2;-;1;1;-;-;4;3;6;2;-;-;-;1;-;3;-;45
"170770 FILADELFIA";3;1;1;2;2;1;2;4;2;5;3;5;5;4;3;4;5;3;3;3;1;2;2;2;2;-;-;70
"170820 FORMOSO DO ARAGUAIA";7;6;9;3;8;12;6;12;15;11;7;4;4;9;5;7;3;6;5;6;5;3;5;3;3;2;3;169
"170825 FORTALEZA DO TABOCAO";-;1;-;-;1;1;1;1;1;1;-;-;2;1;1;2;-;2;1;-;-;1;2;1;-;2;-;22
"170830 GOIANORTE";1;1;1;-;-;2;1;1;2;-;1;2;1;3;-;2;1;-;1;-;-;-;-;-;-;-;-;20
"170900 GOIATINS";2;3;2;1;3;3;8;4;3;8;7;4;3;6;9;15;8;9;5;5;4;2;3;9;4;4;8;142
"170930 GUARAI";6;7;10;11;14;5;6;12;5;5;5;2;9;3;9;1;4;2;12;2;3;7;7;4;2;3;6;162
"170950 GURUPI";46;40;25;29;29;38;29;19;33;14;20;26;24;16;18;17;22;16;16;14;16;24;17;13;4;15;8;588
"170980 IPUEIRAS";-;-;1;1;4;14;8;9;12;5;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;58
"171050 ITACAJA";3;2;3;3;4;5;3;2;3;5;8;4;3;5;5;3;7;3;4;1;3;5;5;6;4;4;2;105
"171070 ITAGUATINS";-;2;1;2;5;5;2;-;1;3;1;-;2;1;-;3;2;1;1;2;1;-;1;-;-;1;1;38
"171090 ITAPIRATINS";2;-;2;1;3;1;-;3;1;-;1;-;2;-;-;1;-;1;-;-;1;1;-;1;1;-;-;22
